instante,36_temperature,37_humidity,38_pm25,39_pm10,40_no2,41_so2,42_co,43_o3
2023-06-14 09:33:00,25.69,26.3,128.0,3.0,41.0,1.0,424.33,8.0
2023-06-14 09:36:00,25.76,26.27,128.0,2.0,41.0,1.0,423.33,8.0
2023-06-14 09:39:00,25.67,26.27,128.0,2.0,41.5,1.5,422.83500000000004,7.5
2023-06-14 09:42:00,25.79,26.24,128.0,3.0,40.0,1.0,424.0,8.0
2023-06-14 09:45:00,25.76,26.16,128.0,3.0,40.0,1.0,422.0,8.0
2023-06-14 09:48:00,25.76,26.1,128.0,5.0,41.0,1.0,425.0,8.0
2023-06-14 09:51:00,25.885,26.055,128.0,2.5,41.5,1.0,421.66499999999996,7.0
2023-06-14 09:54:00,26.15,26.01,128.0,2.0,40.0,1.0,424.5,8.0
2023-06-14 09:57:00,25.810000000000002,25.990000000000002,128.0,2.0,40.5,1.0,426.5,7.0
2023-06-14 10:00:00,26.04,25.98,128.0,2.0,40.0,1.0,426.67,7.0
2023-06-14 10:03:00,26.205,25.92,128.0,2.0,41.0,1.0,424.0,7.5
2023-06-14 10:06:00,25.86,25.88,128.0,2.0,40.0,1.0,421.67,7.0
2023-06-14 10:09:00,26.58,25.84,128.0,3.0,41.0,1.0,424.0,8.0
2023-06-14 10:12:00,26.29,25.76,128.0,3.0,40.0,1.0,426.5,8.0
2023-06-14 10:15:00,26.365,25.685000000000002,128.0,2.0,41.0,1.5,424.0,8.0
2023-06-14 10:18:00,26.51,25.61,128.0,2.0,40.0,1.0,422.0,7.0
2023-06-14 10:21:00,26.509999999999998,25.525,128.0,2.5,40.0,1.0,420.0,8.0
2023-06-14 10:24:00,26.72,25.46,128.0,2.0,41.0,1.0,422.0,8.0
2023-06-14 10:27:00,26.78,25.310000000000002,128.0,1.5,40.0,1.5,423.0,8.0
2023-06-14 10:30:00,26.58,25.23,128.0,2.0,42.0,1.0,424.0,8.0
2023-06-14 10:33:00,26.975,25.17,128.0,2.0,41.0,1.5,425.83500000000004,7.5
2023-06-14 10:36:00,26.91,24.98,128.0,3.0,41.0,1.0,424.33,7.0
2023-06-14 10:39:00,26.96,24.91,128.0,2.0,41.0,1.0,428.33500000000004,7.5
2023-06-14 10:42:00,27.31,24.85,128.0,2.0,40.0,1.0,423.0,8.0
2023-06-14 10:45:00,27.395,24.740000000000002,128.0,2.0,40.0,1.0,421.5,8.0
2023-06-14 10:48:00,27.45,24.64,128.0,2.0,40.0,1.0,423.5,8.0
2023-06-14 10:51:00,27.395,24.6,128.0,2.0,40.0,1.0,426.5,7.0
2023-06-14 10:54:00,27.380000000000003,24.5,128.0,2.0,40.0,1.0,426.5,7.0
2023-06-14 10:57:00,27.38,24.36,128.0,2.0,41.0,1.0,428.33,8.0
2023-06-14 11:00:00,27.619999999999997,24.28,128.0,2.0,41.0,1.0,422.25,7.5
2023-06-14 11:03:00,27.56,24.17,128.0,2.0,41.0,1.0,425.5,7.0
2023-06-14 11:06:00,27.6,24.05,128.0,2.0,40.5,1.5,425.5,8.0
2023-06-14 11:09:00,28.08,23.75,128.0,2.0,40.0,1.0,425.5,8.0
2023-06-14 11:12:00,28.06,23.675,128.0,2.5,41.0,1.5,424.5,7.0
2023-06-14 11:15:00,27.49,23.63,128.0,2.0,41.0,1.0,423.0,7.0
2023-06-14 11:18:00,27.915,23.575000000000003,128.0,2.0,40.5,1.0,425.0,7.5
2023-06-14 11:21:00,28.16,23.53,128.0,2.0,42.0,1.0,424.0,8.0
2023-06-14 11:24:00,27.990000000000002,23.425,128.0,2.5,40.0,1.5,428.25,7.5
2023-06-14 11:27:00,28.04,23.37,128.0,2.0,42.0,1.0,424.0,8.0
2023-06-14 11:30:00,28.064999999999998,23.3,128.0,2.5,40.5,1.0,425.5,8.0
2023-06-14 11:33:00,28.04,23.175,128.0,3.0,40.0,2.0,428.0,7.0
2023-06-14 11:36:00,28.310000000000002,23.075000000000003,128.0,2.0,39.5,1.0,424.5,7.5
2023-06-14 11:39:00,28.19,23.02,128.0,2.0,40.0,1.0,425.67,7.0
2023-06-14 11:42:00,28.455,22.87,128.0,2.0,41.0,1.0,423.66499999999996,8.0
2023-06-14 11:45:00,28.16,22.82,128.0,2.0,41.0,1.0,424.0,7.0
2023-06-14 11:48:00,28.175,22.81,162.5,2.0,41.0,1.0,425.0,7.5
2023-06-14 11:51:00,28.68,22.74,128.0,3.0,40.0,1.0,429.33,8.0
2023-06-14 11:54:00,28.759999999999998,22.68,128.0,3.0,40.5,1.5,425.0,7.5
2023-06-14 11:57:00,28.23,22.63,128.0,2.0,42.0,2.0,425.5,8.0
2023-06-14 12:00:00,28.515,22.57,128.0,2.0,41.0,1.5,427.5,8.0
2023-06-14 12:03:00,28.01,22.46,128.0,2.0,41.0,1.0,421.67,7.0
2023-06-14 12:06:00,28.659999999999997,22.39,128.0,1.5,40.5,1.5,422.0,7.5
2023-06-14 12:09:00,28.83,22.3,128.0,2.0,41.0,1.0,427.33,8.0
2023-06-14 12:12:00,28.7,22.265,128.5,2.5,41.5,1.5,423.16499999999996,8.0
2023-06-14 12:15:00,28.23,22.46,128.0,1.5,41.0,1.0,426.67,8.0
2023-06-14 12:18:00,27.060000000000002,23.47,128.0,2.5,40.0,1.0,425.66499999999996,8.0
2023-06-14 12:21:00,27.16,24.06,128.0,2.0,40.0,1.0,424.0,7.0
2023-06-14 12:24:00,27.065,24.43,128.0,2.0,40.0,1.0,425.33,7.0
2023-06-14 12:27:00,26.8,24.79,128.0,3.0,41.0,1.0,427.33,7.0
2023-06-14 12:30:00,26.345,25.159999999999997,128.0,2.5,40.5,1.0,420.16499999999996,7.5
2023-06-14 12:33:00,27.27,25.39,128.0,3.0,41.0,1.0,425.0,7.0
2023-06-14 12:36:00,27.62,25.325000000000003,128.0,3.0,40.5,1.0,424.5,7.5
2023-06-14 12:39:00,27.56,25.04,128.0,3.0,42.0,1.0,423.33,7.0
2023-06-14 12:42:00,27.365000000000002,24.84,128.0,3.5,40.0,1.0,424.5,7.0
2023-06-14 12:45:00,27.93,24.76,128.0,2.0,42.0,1.0,425.0,7.0
2023-06-14 12:48:00,27.915,24.455,128.0,3.5,40.0,1.0,424.25,7.5
2023-06-14 12:51:00,28.16,23.97,128.0,3.0,41.0,1.0,422.33,7.0
2023-06-14 12:54:00,28.08,23.595,128.0,4.5,40.5,1.0,424.33500000000004,25.0
2023-06-14 12:57:00,28.01,23.53,128.0,3.0,42.0,1.0,423.0,8.0
2023-06-14 13:00:00,28.174999999999997,23.415,128.0,13.5,41.0,1.5,426.33500000000004,12.0
2023-06-14 13:03:00,28.08,23.26,128.0,5.0,42.0,1.0,425.0,8.0
2023-06-14 13:06:00,27.82,23.155,128.0,3.0,40.0,1.0,427.25,7.5
2023-06-14 13:09:00,28.49,23.18,128.0,3.5,40.0,1.0,423.0,8.0
2023-06-14 13:12:00,28.384999999999998,23.17,128.0,3.5,40.0,1.0,423.0,8.0
2023-06-14 13:15:00,28.49,23.2,128.0,3.0,41.0,1.0,423.0,7.0
2023-06-14 13:18:00,27.895,23.505000000000003,128.0,2.0,41.0,1.0,424.0,7.5
2023-06-14 13:21:00,27.97,24.09,128.0,3.0,41.0,1.0,429.0,7.0
2023-06-14 13:24:00,27.875,24.740000000000002,128.0,4.0,40.5,1.0,424.5,7.0
2023-06-14 13:27:00,27.49,25.02,128.0,3.0,41.0,1.0,425.0,7.0
2023-06-14 13:30:00,26.975,25.295,128.0,2.5,40.5,1.0,421.5,8.5
2023-06-14 13:33:00,27.31,25.36,128.0,3.0,40.0,1.0,424.0,8.0
2023-06-14 13:36:00,27.14,25.509999999999998,128.0,2.5,40.5,1.0,423.5,7.5
2023-06-14 13:39:00,27.49,25.92,128.0,2.0,41.0,1.0,424.0,7.0
2023-06-14 13:42:00,27.16,26.17,128.0,2.5,40.5,1.0,426.33500000000004,7.5
2023-06-14 13:45:00,27.56,26.31,128.0,3.0,41.0,1.0,426.67,7.0
2023-06-14 13:48:00,27.38,26.045,128.0,3.5,39.5,1.0,419.83500000000004,7.5
2023-06-14 13:51:00,27.49,25.87,128.0,3.0,42.0,1.0,424.0,7.0
2023-06-14 13:54:00,27.25,26.064999999999998,128.0,3.5,39.5,1.0,425.5,25.5
2023-06-14 13:57:00,27.27,26.32,128.0,3.0,40.0,1.0,425.0,8.0
2023-06-14 14:00:00,27.104999999999997,26.5,128.0,2.0,42.0,1.0,428.5,7.5
